name,massif,lat,lon,denivele_positif,exposition,difficulty_ski,url
Pointe W de Jasse Bralard : versant SW,Belledonne,45.1403,5.9376,1150,SO,S3,https://www.camptocamp.org/routes/1601805
Sommet de la Tour Perret : Tour anti-horaire,Belledonne,45.1832,5.7388,5,E,S1,https://www.camptocamp.org/routes/1198631
Rocca Bianca : Depuis Prali / Indiritti,Queyras,44.9016,7.0911,780,SO,S2,https://www.camptocamp.org/routes/847453
Grand Veymont : Couloir W,Vercors,44.866,5.5206,1000,O,S5,https://www.camptocamp.org/routes/1179515
Mont Selletta : Par la crête de Cavallo Bianco,Queyras,44.8939,7.0273,1200,NO,S3,https://www.camptocamp.org/routes/847425
Founset : Par le vallon du torrent des 13 Lacs,Queyras,44.8681,7.095,1350,N,S3,https://www.camptocamp.org/routes/846993
Jas du Chamois : En boucle depuis Bousieyas,Mercantour,44.353,6.8333,2500,S,S2,https://www.camptocamp.org/routes/866944
Rocca Verde : Par la combe du Faniet,Mercantour,44.3359,6.9708,1230,NO,S3,https://www.camptocamp.org/routes/966212
Claï Inférieur : depuis le Pont Haut.,Mercantour,44.2988,6.9249,1300,SO,S3,https://www.camptocamp.org/routes/981153
Rocher de l'Homme : Couloir NE en Z,Belledonne,45.1898,5.991,1500,NE,S5,https://www.camptocamp.org/routes/853583
L'Étale - Pointe 2266 m : Face N,Aravis,45.8441,6.4401,1076,N,S3,https://www.camptocamp.org/routes/1398266
Mont Granier : Face NE directe par le Pas de la Porte,Chartreuse,45.4656,5.9287,1100,NE,S5,https://www.camptocamp.org/routes/970926
Tête de la Cassille : Couloir Chantriaux / Paret,Thabor,45.0422,6.5011,1600,SE,S5,https://www.camptocamp.org/routes/862064
Dents de Bédina : Arête NW de la Dent Blanche,Belledonne,45.2381,6.0227,1100,O,S4,https://www.camptocamp.org/routes/964258
Crête d'Argentière - Antécime E : Couloir N,Grandes-Rousses,45.1094,6.3829,1300,N,S4,https://www.camptocamp.org/routes/986236
Pointe de Bellevue : Couloirs SE,Chablais,46.2572,6.8917,760,SE,S4,https://www.camptocamp.org/routes/978056
Tête de Pei de Juin : Par le vallon de Pouriac,Queyras,44.3771,6.8962,1000,NE,S3,https://www.camptocamp.org/routes/966325
Grande Moucherolle : Face SW directe,Vercors,45.0049,5.5641,1070,SO,S4,https://www.camptocamp.org/routes/1185067
Pointe W de Jasse Bralard : Face NW de l'Antécime NW,Belledonne,45.1414,5.934,1350,NO,S5,https://www.camptocamp.org/routes/974234
La Botte : Couloir Léandro,Belledonne,45.1229,5.9146,500,SO,S4,https://www.camptocamp.org/routes/1378914
Pointe de Terre Rouge : Traversée S>W,Thabor,45.1323,6.5109,900,O,S2,https://www.camptocamp.org/routes/1374390
Pic de Panestrel : Goulotte Rom et Pastaga,Queyras,44.5891,6.8088,1400,E,S3,https://www.camptocamp.org/routes/1089365
Bec de l'Aigle (Jausiers) : Crête des Chamois,Mercantour,44.4329,6.8471,1060,NE,S3,https://www.camptocamp.org/routes/1084174
Dôme de la Sache : par le couloir SW de la Grande Paréi,Vanoise,45.5109,6.8705,1790,SO,S5,https://www.camptocamp.org/routes/1195866
Col des Ugousses : Par la vallon des Hugues,Queyras,44.634,6.8856,1200,SE,S3,https://www.camptocamp.org/routes/1190413
Cime du Petit Sauvage : Couloir SE,Grandes-Rousses,45.1499,6.159,1710,SE,S5,https://www.camptocamp.org/routes/620143
Cimes du Grand Sauvage : Face SE Suspendue du Sommet 3168 m,Grandes-Rousses,45.1271,6.1653,1760,SE,S5,https://www.camptocamp.org/routes/715918
Pointe Ronde : Crête NE : La Ptite Veudale,Mont-Blanc,46.0543,7.0249,1465,O,S4,https://www.camptocamp.org/routes/838240
"Pertuis de Savalène : Couloir N ""Les Cavoués sans issue""",Chablais,46.3231,6.8123,730,N,S4,https://www.camptocamp.org/routes/1293512
Mont Gruetta occidental : Face S,Mont-Blanc,45.8796,7.0172,2450,S,S4,https://www.camptocamp.org/routes/1757634
