id_sortie,sentiment,confidence
181981,neutral,0.0
181099,neutral,0.0
181098,neutral,0.0
181097,neutral,0.0
180323,neutral,0.1
180322,neutral,0.0
176717,neutral,0.0
175118,neutral,0.0
173293,neutral,0.0
173292,positive,0.326
173277,neutral,0.033
173276,neutral,0.05
173264,negative,0.467
173263,neutral,0.0
173262,positive,0.391
173261,neutral,0.062
173260,positive,0.25
173249,neutral,0.044
173247,neutral,0.031
173245,neutral,0.0
173244,positive,0.5
173243,negative,1.0
173242,neutral,0.0
173241,negative,0.108
173240,neutral,0.096
173239,positive,0.3
173238,positive,0.167
173235,neutral,0.075
173234,negative,0.8
173233,neutral,0.0
173232,neutral,0.067
173229,positive,0.242
173228,neutral,0.0
173227,positive,0.469
173226,neutral,0.0
173225,negative,0.2
173224,positive,0.101
173222,neutral,0.0
173221,neutral,0.0
173220,negative,0.267
173219,neutral,0.0
173218,negative,0.8
173217,positive,0.5
173216,positive,0.333
173215,neutral,0.0
173214,neutral,0.0
173213,neutral,0.0
173212,neutral,0.0
173211,neutral,0.0
173210,neutral,0.0
173208,positive,0.182
173207,positive,0.5
173204,positive,0.25
173203,negative,0.281
173202,neutral,0.067
173201,positive,0.5
173200,neutral,0.0
173198,neutral,0.0
173197,neutral,0.0
173195,positive,0.461
173194,neutral,0.0
173193,negative,0.133
173192,neutral,0.0
173191,positive,0.5
173190,positive,0.444
173189,positive,0.417
173188,neutral,0.0
173187,neutral,0.0
173186,neutral,0.0
173185,neutral,0.0
173184,neutral,0.0
173183,positive,0.257
173181,neutral,0.0
173180,neutral,0.0
173179,positive,0.5
173177,neutral,0.0
173176,positive,0.208
173174,neutral,0.0
173173,neutral,0.0
173172,neutral,0.062
173171,positive,0.167
173168,positive,0.25
173167,neutral,0.05
173165,neutral,0.0
173164,neutral,0.0
173163,neutral,0.0
173161,positive,0.175
173159,neutral,0.0
173158,neutral,0.0
173156,neutral,0.0
173155,positive,0.333
173154,neutral,0.0
173153,neutral,0.0
173152,neutral,0.0
173151,neutral,0.1
173150,neutral,0.0
173149,positive,0.189
173147,neutral,0.0
173146,positive,0.167
173145,neutral,0.0
173144,positive,1.0
173143,neutral,0.083
173142,positive,0.5
173141,positive,0.225
173140,positive,0.75
173139,neutral,0.0
173138,positive,0.657
173137,neutral,0.0
173136,neutral,0.1
173135,neutral,0.0
173131,neutral,0.0
173130,neutral,0.0
173129,positive,0.583
173128,negative,0.5
173127,neutral,0.0
173126,positive,0.586
173125,neutral,0.0
173124,neutral,0.0
173122,positive,0.312
173121,negative,0.8
173120,neutral,0.014
173119,neutral,0.0
173118,positive,0.5
173117,neutral,0.0
173115,neutral,0.0
173114,neutral,0.013
173113,positive,0.2
173110,neutral,0.0
173106,positive,0.375
173105,positive,0.225
173104,positive,0.287
173103,positive,0.214
