id_sortie,date_unix,date,titre,massif,denivele,skiabilite_score,skiabilite_label,conditions_text,recit_text,summit_name,summit_altitude,summit_lat,summit_lon,topo_id,temp_max,temp_min,precipitation_mm,wind_max_kmh,snowfall_cm,cloud_cover_%,cloud_low_%,cloud_mid_%,cloud_high_%,temp_max_7d_avg,precipitation_7d_sum,snowfall_7d_sum,days_since_last_snow,topo_orientation,topo_slope_max_deg,topo_difficulty,topo_denivele,date_dt,day_of_week,month,is_weekend,season,temp_range,is_freezing,is_snowing,cloud_total_%,summit_altitude_clean,altitude_category
181981,1715292000,2024-05-09,"Glaciers de la Vanoise, descente face ouest du Dôme des Nants",Vanoise,1300,4,Excellente,"Météo/températures : Grand beau et chaud.<br>Conditions d'accès/altitude du parking : RAS<br>Altitude de chaussage/déchaussage : Déchaussage vers 2000m en retrouvant le sentier qui descend sur les Prioux.<br>Conditions pour le ski : Neige bien décaillée sur le bas, un peu moins sur le haut, mais ça restait globalement bon, voire très bon.<br><br>Conditions nivo et activité avalancheuse : Coulées printanières mais RAS sinon.",Itinéraire suivi : cf GPX<br>Horaires : Départ du refuge vers 6h. Descente vers 11h30/12h00.<br>,Pointe du Dard,3206,45.364,6.7658,752,8.1,0.3,2.9,4.7,0.0,81.5,,,,3.857142857142857,60.0,167.0,0.0,W,,4.1,1850,2024-05-09,3,5,0,spring,7.8,0,0,0.0,3206.0,high
181099,1712354400,2024-04-05,Tour du Ferrouilet,Belledonne,1938,4,Excellente,Météo/températures :&nbsp;<br>Conditions d'accès/altitude du parking :&nbsp;<br>Altitude de chaussage/déchaussage : pont de la Becca<br>Conditions pour le ski : excellent! Ça chauffe un peu en face Est mais le vallon sous le rocher de l'homme est excellent.&nbsp;<br><br>Conditions nivo et activité avalancheuse : des mini coulées au dessus du lac&nbsp;,Itinéraire suivi : <br>Horaires : <br>Avec le CAF Go&nbsp;,Pas de la Coche,1989,45.2176,6.0295,2644,18.1,1.6,0.0,8.6,0.0,75.3,,,,10.471428571428572,52.0,54.0,1.0,,30.0,2.2,1200,2024-04-05,4,4,0,spring,16.5,0,0,0.0,1989.0,low
181098,1706396400,2024-01-27,"Selle du Puy Gris, Traversée Tépey &gt; Roches",Belledonne,1566,2,Correcte,"Météo/températures :&nbsp;<br>Conditions d'accès/altitude du parking :&nbsp;<br>Altitude de chaussage/déchaussage :&nbsp;<br>Conditions pour le ski : vallon des petites roches complètement glacé, redescente dans celui du tepey lourd au soleil mais glacé a l'ombre<br><br>Conditions nivo et activité avalancheuse : RAS, coulée de neige humide en faces S",Itinéraire suivi : <br>Horaires : ,Col de Comberousse,2669,45.2991,6.1457,364,7.6,-4.4,0.0,7.9,0.0,41.2,,,,4.5285714285714285,13.9,22.0,3.0,S,,2.2,1600,2024-01-27,5,1,1,winter,12.0,0,0,0.0,2669.0,mid
181097,1714168800,2024-04-26,Tour de l'aiguille du Chardonnet,Mont Blanc,2036,4,Excellente,"Météo/températures : brouillard à la fin<br>Conditions d'accès/altitude du parking :&nbsp;<br>Altitude de chaussage/déchaussage : déchaussage quasi a l'argentière par la piste<br>Conditions pour le ski : okay, lourd à la fin<br><br>Conditions nivo et activité avalancheuse : RAS on se méfie un peu dans la descente du glacier des Rognons",Itinéraire suivi : <br>Horaires : <br>,Col du Chardonnet,3323,45.9663,7.0118,,3.4,-2.3,3.231,29.5,1.0,55.3,,,,1.342857142857143,4.271,160.0,0.0,,,,,2024-04-26,4,4,0,spring,5.699999999999999,0,1,0.0,3323.0,high
180323,1702854000,2023-12-17,Pene Lounque et Pic de Ballonque,Mont-Perdu - Gavarnie - Bigorre,1496,2,Correcte,"Météo/températures : grand bleu, un peu de vent<br>Conditions d'accès/altitude du parking : 1300 m<br>Altitude de chaussage/déchaussage : 1400/1400 m<br>Conditions pour le ski : manque de neige jusqu'à 1600 m, une bonne descente mais c'est vraiment pour s'aérer<br><br>Conditions nivo et activité avalancheuse : RAS, pas assez de neige pour avoir peur",Itinéraire suivi :Pène Lounque puis descente puis remontée rapide pour aller au Pic de Ballonque puis galère pour la descente entre le manque de neige et le manque de pente<br>Horaires : 8h30->12h<br>,Pene Lounque,2275,42.9463,0.183266,4424,13.1,-2.0,0.0,11.2,0.0,0.0,,,,13.428571428571429,35.0,0.0,,S,30.0,1.3,1049,2023-12-17,6,12,1,winter,15.1,0,0,0.0,2275.0,mid
180322,1700780400,2023-11-23,Col des Pêcheurs et Col d'Aoube,Mont-Perdu - Gavarnie - Bigorre,1327,2,Correcte,"Météo/températures : chaud et plutôt nuageux<br>Conditions d'accès/altitude du parking : déneigé, 1450 m<br>Altitude de chaussage/déchaussage : 1500/1500 m<br>Conditions pour le ski : crouté ou très lourd, manque de neige sur le versant lac Bleu pour cacher les cailloux<br><br>Conditions nivo et activité avalancheuse : RAS, très peu de neige","Itinéraire suivi : De Tournaboup, d'abord le Col des Pêcheurs, galère pour descendre versant lac Bleu. Remontée dans la très lourde au Col d'Aoube puis poussage de baton pour rentrer. Seul au monde.<br>Horaires :8h45 -> 14h15<br>",Col d'Aoube,2369,42.9305,0.11278,5429,9.8,1.1,0.0,34.8,0.0,56.6,,,,15.714285714285714,13.645999999999999,0.0,,S,30.0,2.2,930,2023-11-23,3,11,0,fall,8.700000000000001,0,0,0.0,2369.0,mid
176717,1712354400,2024-04-05,Epaule d'Autane,Ecrins,900,4,Excellente,"Météo/températures : chaud et beau<br>Conditions d'accès/altitude du parking : terrain<br>Altitude de chaussage/déchaussage : 100 mà la sortie du village<br>Conditions pour le ski : à la montée, certaines pentes S à l'ombre sont vitrifiées. Transfo excellente à la descente.<br><br>Conditions nivo et activité avalancheuse : De vieilles avalanches massives dont une qui a déclenché au dessus du ressaut classique de montée à 2100 m. Tout l'itinéraire de montée du ressaut a été emporté. Impressionnant et inquiétant de voir une avalanche ici.","Itinéraire suivi : topo<br>Horaires : départ village 9h, un peu tard vu la chaleur.<br><div><br></div><div>Joli sortie avec Aurélia.</div><div>A la cote 2000 m , nous avons assisté à un secours par Choucas05 : une skieuse a zippé sur la neige vitrifiée et s'est blessée à la cheville. L'hélico posé en appui patin évacue les 4 skieuses.</div><div>On poursuit la montée.</div><div>Descente excellente en transfo à point !</div><div><br></div>",Epaule d'Autane (Pt 2470m),2470,44.6364,6.29561,8998,10.1,0.6,0.0,9.0,0.0,79.4,,,,5.328571428571428,70.0,135.0,1.0,NE,,2.1,900,2024-04-05,4,4,0,spring,9.5,0,0,0.0,2470.0,mid
175118,1713736800,2024-04-21,"Hohneck, Kastelberg, lac de la Lande, depuis le col de la Schlucht",Vosges,1559,5,Inconnue,"Météo : Ciel couvert<br>Conditions d'accès/altitude du parking : Route claire, parking du col de la Schlucht<br>Altitude de chaussage/déchaussage : 1139m / 1139m<br>Conditions pour le ski : Excellentes, épaisse couche de neige après les grosses chutes des derniers jours.<br><br>Conditions nivo et activité avalancheuse : Néant","Itinéraire suivi : Depuis le col de la Schlucht, montée au Hohneck, puis sommet du Kastelberg, descente à l'auberge du Kastelberg, tour du lac de la Lande, remontée au Hohneck puis petit Hohneck, retour de nouveau au Hohneck puis retour au col de la Schlucht.<br><div><br></div><div>Horaires :10h20 / 18h25<br></div>",,,,,,,,,,,,,,,,,,,,,,,2024-04-21,6,4,1,spring,,0,0,0.0,,
173293,1713045600,2024-04-13,Col de la Bessanèse depuis le refuge de l'Avérole,Alpes Grées S,1107,5,Inconnue,Météo/températures : Bonne condition météo avec un froid sec. Temps dégagé<br>Conditions d'accès/altitude du parking : aucun problème<br>Altitude de chaussage/déchaussage : 2000<br>Conditions pour le ski : très bonne<br><br>Conditions nivo et activité avalancheuse : manteau neigeux stable,Itinéraire suivi : <br>Horaires : <br>,Col de la Bessanèse,3238,45.3098,7.1174,,21.1,12.3,0.0,13.0,0.0,24.8,,,,17.414285714285715,19.565,0.0,,,,,,2024-04-13,5,4,1,spring,8.8,0,0,0.0,3238.0,high
173292,1722463200,2024-07-31,Pi pic de l’étendard pour ne pas perdre la main&nbsp;,Grandes Rousses - Arves,1650,1,Médiocre,Météo/températures : grand beau et chaud&nbsp;<br>Conditions d'accès/altitude du parking : top<br>Altitude de chaussage/déchaussage : 2650<br>Conditions pour le ski : vraiment pas bon s’était une neige qui a bien subit la fonte et qui était donc très canneluré on voit bien que c’est pas la saison du ski<br><br>Conditions nivo et activité avalancheuse : ras crevasse bien bouché&nbsp;,"&nbsp;Départ du col de la Croix-de-Fer un peu trop tard, vers 8 h. Heureusement que j’avais un VTT électrique pour monter jusqu’au deuxième lac. Après, l’objectif était de rattraper le temps perdu, donc tête dans les bâtons jusqu’au glacier de Saint-Sorlin où je chausse sur une langue de neige rive gauche. Puis j’ai remonté tout le glacier, sommet à 11 h, et rebelote à la descente. C’était vraiment pas agréable en snowboard, j’avais les jambes en compote en bas. Je me doutais que ça ne serait pas la sortie de l’année, mais ça fait plaisir de sortir un premier août et ça permet de ne pas perdre la main 😉<div>Pas désagréable de faire toute la distance en VTT !!!<br><div><br></div></div>",Pic de l'Étendard,3464,45.1544,6.1438,795,24.7,13.2,0.0,11.2,0.0,36.2,,,,23.557142857142857,0.4,0.0,,NE,,2.3,1650,2024-07-31,2,7,0,summer,11.5,0,0,0.0,3464.0,high
