name,massif,lat,lon,denivele_positif,exposition,difficulty_ski,url
Face W/NW,Bornes - Aravis,45.8518,6.4118,1200,W,4.1,https://skitour.fr/topos/9124
"Luttinden, couloir SE",Ile de Senja (Norvège),69.4418,17.4238,730,S,4.1,https://skitour.fr/topos/8919
Double traversée du Skardelvfjellet,Ile de Senja (Norvège),69.476,17.7402,1100,T,2.3,https://skitour.fr/topos/8916
Col de Says en traversée Est-Ouest,Ecrins,44.9326,6.29254,1210,T,4.2,https://skitour.fr/topos/8915
Squaretop mountain,Colorado,39.5966,-105.71,900,SE,2.3,https://skitour.fr/topos/8914
Sollidalen,Mainland Tromso (Norvège),69.608,18.9394,780,NW,1.2,https://skitour.fr/topos/8912
Rocca della Paur en boucle par le couloir Fantasma,Mercantour - Alpes Maritimes Italiennes,44.1835,7.16238,2500,S,4.2,https://skitour.fr/topos/8910
"Pas des Aupillous / Col du Sellar, versant Est",Ecrins,44.8305,6.4044,1483,E,3.2,https://skitour.fr/topos/8907
Col petit Jean Couloir N,Grandes Rousses - Arves,45.1854,6.316,1700,N,4.2,https://skitour.fr/topos/8906
Couloir N des Monges,Préalpes de Digne,44.3082,6.1588,800,N,5.1,https://skitour.fr/topos/8904
"Les Mourres Rouges, sommet NE, Face sud",Ecrins,44.8265,6.145,1960,S,4.3,https://skitour.fr/topos/8903
Kilometer couloir,Alpes de Lyngen (Norvege),69.5888,20.1095,1400,S,5.1,https://skitour.fr/topos/8898
Couloir sud ouest de la crête des pareis&nbsp;,Queyras - Alpes Cozie N,44.7051,6.64108,1100,SW,4.2,https://skitour.fr/topos/8897
Couloir du Chancroy,Queyras - Alpes Cozie N,44.7569,6.9926,200,SW,4.1,https://skitour.fr/topos/8896
"Pointes de Burlan, Face Nord",Ecrins,44.9631,6.17812,1660,N,5.3,https://skitour.fr/topos/8894
Pic de la Pierre depuis la Gorge du Vors,Belledonne,45.2044,5.94607,1800,T,3.3,https://skitour.fr/topos/8893
"Mont Charvin, Nord directe",Bornes - Aravis,45.8028,6.385,1200,N,5.5,https://skitour.fr/topos/8891
Le Lama Blanc (de la Grisonnière),Taillefer - Matheysine,44.9617,5.8749,1350,NE,5.2,https://skitour.fr/topos/8890
"Cresta del Becco, face SW",Cerces - Thabor - Mont Cenis,45.1127,6.74732,1200,SW,2.1,https://skitour.fr/topos/8889
