date_validite,risque_actuel,risque_j2,depart_spontane,declenchement_skieur,resume,id,massif,departement,zone
2025-12-09T16:00:00,2,2,Coulées de neige humide en versants ensoleillés. Plaques de fond,Plaques à vent en altitude.,"Départs spontanés : Coulées de neige humide en versants ensoleillés. Plaques de fond
Déclenchements skieurs : Plaques à vent en altitude.",1,Chablais,Haute-Savoie,Alpes du Nord
2025-12-09T16:00:00,2,2,Coulées de neige humide en versants ensoleillés. Plaques de fond,Plaques à vent en altitude.,"Départs spontanés : Coulées de neige humide en versants ensoleillés. Plaques de fond
Déclenchements skieurs : Plaques à vent en altitude.",2,Aravis,Haute-Savoie,Alpes du Nord
2025-12-09T16:00:00,3,3,Coulées de neige humide en versants ensoleillés. Plaques de fond,Plaques à vent en altitude.,"Départs spontanés : Coulées de neige humide en versants ensoleillés. Plaques de fond
Déclenchements skieurs : Plaques à vent en altitude.",3,Mont-Blanc,Haute-Savoie,Alpes du Nord
2025-12-09T16:00:00,1,1,Plaques de fond. Coulées de neige humide au soleil.,Peu probables,"Départs spontanés : Plaques de fond. Coulées de neige humide au soleil.
Déclenchements skieurs : Peu probables",4,Bauges,Savoie,Alpes du Nord
2025-12-09T16:00:00,2,2,plaques de fond en adrets.,très rare plaque en haute montagne. ,"Départs spontanés : plaques de fond en adrets.
Déclenchements skieurs : très rare plaque en haute montagne. ",5,Beaufortain,Savoie,Alpes du Nord
2025-12-09T16:00:00,3,3,coulées ou plaques de fond.,"plaques en altitude, rare grande. ","Départs spontanés : coulées ou plaques de fond.
Déclenchements skieurs : plaques en altitude, rare grande. ",6,Haute-Tarentaise,Savoie,Alpes du Nord
2025-12-09T16:00:00,1,1,Rare coulée humide sous les rochers ou rare avalanche de fond...,peu probables...,"Départs spontanés : Rare coulée humide sous les rochers ou rare avalanche de fond...
Déclenchements skieurs : peu probables...",7,Chartreuse,Isère,Alpes du Nord
2025-12-09T16:00:00,2,2,"quelques coulées humides possibles, sous la douceur, le soleil et parfois les voiles nuageux.","en altitude : quelques plaques récemment formées sous le vent de sud à sud-ouest, et toujours des couches fragiles enfouies dans un large nord.","Départs spontanés : quelques coulées humides possibles, sous la douceur, le soleil et parfois les voiles nuageux.
Déclenchements skieurs : en altitude : quelques plaques récemment formées sous le vent de sud à sud-ouest, et toujours des couches fragiles enfouies dans un large nord.",8,Belledonne,Isère,Alpes du Nord
2025-12-09T16:00:00,2,2,plaques de fond en adrets.,quelques plaques en haute montagne. ,"Départs spontanés : plaques de fond en adrets.
Déclenchements skieurs : quelques plaques en haute montagne. ",9,Maurienne,Savoie,Alpes du Nord
2025-12-09T16:00:00,2,2,coulées ou plaques de fond.,"plaques en altitude, rare grande. ","Départs spontanés : coulées ou plaques de fond.
Déclenchements skieurs : plaques en altitude, rare grande. ",10,Vanoise,Savoie,Alpes du Nord
2025-12-09T16:00:00,2,2,coulées au Soleil ou plaques de fond versant Vanoise.,"quelques plaques dans la neige ventée, rare grande avalanche.","Départs spontanés : coulées au Soleil ou plaques de fond versant Vanoise.
Déclenchements skieurs : quelques plaques dans la neige ventée, rare grande avalanche.",11,Haute-Maurienne,Savoie,Alpes du Nord
2025-12-09T16:00:00,2,2,"quelques coulées humides possibles, sous la douceur, le soleil et parfois les voiles nuageux.","en altitude : quelques plaques récemment formées sous le vent de sud à sud-ouest, et toujours des couches fragiles enfouies dans un large nord.","Départs spontanés : quelques coulées humides possibles, sous la douceur, le soleil et parfois les voiles nuageux.
Déclenchements skieurs : en altitude : quelques plaques récemment formées sous le vent de sud à sud-ouest, et toujours des couches fragiles enfouies dans un large nord.",12,Grandes-Rousses,Isère,Alpes du Nord
2025-12-09T16:00:00,2,2,"ponctuels, rarement en plaque, en neige humide au soleil","quelques plaques, encore facile à déclencher, en versants ombragés","Départs spontanés : ponctuels, rarement en plaque, en neige humide au soleil
Déclenchements skieurs : quelques plaques, encore facile à déclencher, en versants ombragés",13,Thabor,Hautes-Alpes/Savoie,Alpes du Sud
2025-12-09T16:00:00,1,1,"Coulées humides possibles sous les rochers, en versants raides ensoleillés ",Rares plaques en nord d'altitude resté froid ,"Départs spontanés : Coulées humides possibles sous les rochers, en versants raides ensoleillés 
Déclenchements skieurs : Rares plaques en nord d'altitude resté froid ",14,Vercors,Isère,Alpes du Nord
2025-12-09T16:00:00,2,2,"quelques coulées humides possibles, sous la douceur, le soleil et parfois les voiles nuageux.","en altitude : quelques plaques récemment formées sous le vent de sud à sud-ouest, et toujours des couches fragiles enfouies dans un large nord.","Départs spontanés : quelques coulées humides possibles, sous la douceur, le soleil et parfois les voiles nuageux.
Déclenchements skieurs : en altitude : quelques plaques récemment formées sous le vent de sud à sud-ouest, et toujours des couches fragiles enfouies dans un large nord.",15,Oisans,Isère,Alpes du Nord
2025-12-09T16:00:00,2,2,"ponctuels, rarement en plaque, en neige humide au soleil","quelques plaques, encore facile à déclencher, en versants ombragés","Départs spontanés : ponctuels, rarement en plaque, en neige humide au soleil
Déclenchements skieurs : quelques plaques, encore facile à déclencher, en versants ombragés",16,Pelvoux,Hautes-Alpes,Alpes du Sud
2025-12-09T16:00:00,2,2,"ponctuels, rarement en plaque, en neige humide au soleil.","quelques plaques, encore facile à déclencher, en versants ombragés","Départs spontanés : ponctuels, rarement en plaque, en neige humide au soleil.
Déclenchements skieurs : quelques plaques, encore facile à déclencher, en versants ombragés",17,Queyras,Hautes-Alpes,Alpes du Sud
2025-12-09T16:00:00,2,2,"ponctuels, rarement en plaque, en neige humide au soleil","quelques plaques, encore facile à déclencher, en versants ombragés","Départs spontanés : ponctuels, rarement en plaque, en neige humide au soleil
Déclenchements skieurs : quelques plaques, encore facile à déclencher, en versants ombragés",18,Devoluy,Hautes-Alpes,Alpes du Sud
2025-12-09T16:00:00,2,2,"ponctuels, rarement en plaque, en neige humide au soleil","quelques plaques, encore facile à déclencher, en versants ombragés","Départs spontanés : ponctuels, rarement en plaque, en neige humide au soleil
Déclenchements skieurs : quelques plaques, encore facile à déclencher, en versants ombragés",19,Champsaur,Hautes-Alpes,Alpes du Sud
2025-12-09T16:00:00,2,2,"ponctuels, rarement en plaque, en neige humide au soleil","quelques plaques, encore facile à déclencher, en versants ombragés","Départs spontanés : ponctuels, rarement en plaque, en neige humide au soleil
Déclenchements skieurs : quelques plaques, encore facile à déclencher, en versants ombragés",20,Embrunais-Parpaillon,Hautes-Alpes,Alpes du Sud
2025-12-09T16:00:00,2,2,en neige humide en pentes raides ensoleillées. Taille limitée.,quelques plaques à vent en place en versants froids d'altitude.,"Départs spontanés : en neige humide en pentes raides ensoleillées. Taille limitée.
Déclenchements skieurs : quelques plaques à vent en place en versants froids d'altitude.",21,Ubaye,Alpes-de-Haute-Provence,Alpes du Sud
2025-12-09T16:00:00,2,2,en neige humide en pentes raides ensoleillées. Taille limitée.,quelques plaques à vent en place en versants froids d'altitude.,"Départs spontanés : en neige humide en pentes raides ensoleillées. Taille limitée.
Déclenchements skieurs : quelques plaques à vent en place en versants froids d'altitude.",22,Haut-Var Haut-Verdon,Alpes-de-Haute-Provence/Alpes-Maritimes,Alpes du Sud
2025-12-09T16:00:00,2,2,en neige humide en pentes raides ensoleillées. Taille limitée.,quelques plaques à vent en place en versants froids d'altitude.,"Départs spontanés : en neige humide en pentes raides ensoleillées. Taille limitée.
Déclenchements skieurs : quelques plaques à vent en place en versants froids d'altitude.",23,Mercantour,Alpes-Maritimes,Alpes du Sud
2025-12-09T16:00:00,1,1,Quelques coulées de neige humide dans les versants ensoleillés en journée,"Très rares plaques difficiles à solliciter dans les pentes ombragées d'altitude, en principe bien stabilisées","Départs spontanés : Quelques coulées de neige humide dans les versants ensoleillés en journée
Déclenchements skieurs : Très rares plaques difficiles à solliciter dans les pentes ombragées d'altitude, en principe bien stabilisées",40,Cinto-Rotondo,Haute-Corse,Corse
2025-12-09T16:00:00,1,1,Quelques coulées de neige humide dans les versants ensoleillés en journée,"Très rares plaques difficiles à solliciter dans les pentes ombragées d'altitude, en principe bien stabilisées","Départs spontanés : Quelques coulées de neige humide dans les versants ensoleillés en journée
Déclenchements skieurs : Très rares plaques difficiles à solliciter dans les pentes ombragées d'altitude, en principe bien stabilisées",41,Renoso-Incudine,Corse-du-Sud,Corse
2025-12-09T16:00:00,1,1,Neige humide. Avalanches de fond. ,En neige humide.,"Départs spontanés : Neige humide. Avalanches de fond. 
Déclenchements skieurs : En neige humide.",64,Pays Basque,Pyrénées-Atlantiques,Pyrénées
2025-12-09T16:00:00,2,2,"Neige ventée, avalanches de fond.",Neige ventée.,"Départs spontanés : Neige ventée, avalanches de fond.
Déclenchements skieurs : Neige ventée.",65,Aspe-Ossau,Pyrénées-Atlantiques,Pyrénées
2025-12-09T16:00:00,2,2,"Neige ventée, avalanches de fond.",Neige ventée.,"Départs spontanés : Neige ventée, avalanches de fond.
Déclenchements skieurs : Neige ventée.",66,Haute-Bigorre,Hautes-Pyrénées,Pyrénées
2025-12-09T16:00:00,2,2,"Neige ventée, avalanches de fond.",Neige ventée.,"Départs spontanés : Neige ventée, avalanches de fond.
Déclenchements skieurs : Neige ventée.",67,Aure-Louron,Hautes-Pyrénées,Pyrénées
2025-12-09T16:00:00,2,2,"Neige ventée, avalanches de fond.",Neige ventée.,"Départs spontanés : Neige ventée, avalanches de fond.
Déclenchements skieurs : Neige ventée.",68,Luchonnais,Haute-Garonne,Pyrénées
2025-12-09T16:00:00,2,2,Rares avalanches de fond plutôt au soleil,Structures de plaques possibles en altitude,"Départs spontanés : Rares avalanches de fond plutôt au soleil
Déclenchements skieurs : Structures de plaques possibles en altitude",69,Couserans,Ariège,Pyrénées
2025-12-09T16:00:00,2,2,Rares avalanches de fond plutôt au soleil,Structures de plaques possibles en altitude,"Départs spontanés : Rares avalanches de fond plutôt au soleil
Déclenchements skieurs : Structures de plaques possibles en altitude",70,Haute-Ariège,Ariège,Pyrénées
2025-12-09T16:00:00,2,2,Rares avalanches de fond plutôt au soleil,Structures de plaques possibles en altitude,"Départs spontanés : Rares avalanches de fond plutôt au soleil
Déclenchements skieurs : Structures de plaques possibles en altitude",72,Orlu-Saint-Barthélemy,Ariège,Pyrénées
2025-12-09T16:00:00,2,2,Coulées au soleil en neige humide au soleil,Structures de plaques possibles en altitude,"Départs spontanés : Coulées au soleil en neige humide au soleil
Déclenchements skieurs : Structures de plaques possibles en altitude",73,Capcir-Puymorens,Pyrénées-Orientales,Pyrénées
2025-12-09T16:00:00,1,1,Petites coulées,Peu probables,"Départs spontanés : Petites coulées
Déclenchements skieurs : Peu probables",74,Cerdagne-Canigou,Pyrénées-Orientales,Pyrénées
